Symbol,Lot Size (Aug 2024),Lot Size (Sep 2024),Lot Size (Oct 2024)
MRF,5,5,5
NIFTY NEXT 50,10,10,10
BANKNIFTY,15,15,15
PAGEIND,15,15,15
ABBOTINDIA,20,20,20
FINNIFTY,25,25,25
NIFTY,25,25,25
BOSCHLTD,25,25,25
SHREECEM,25,25,25
MIDCPNIFTY,50,50,50
MARUTI,50,50,50
BAJAJ-AUTO,75,75,75
ALKEM,100,100,100
ATUL,100,100,100
DIXON,100,100,100
LTTS,100,100,100
OFSS,100,100,100
ULTRACEMCO,100,100,100
ABB,125,125,125
APOLLOHOSP,125,125,125
BAJFINANCE,125,125,125
DRREDDY,125,125,125
JKCEMENT,125,125,125
POLYCAB,125,125,125
COFORGE,150,150,150
HDFCAMC,150,150,150
HEROMOTOCO,150,150,150
LT,150,150,150
LTIM,150,150,150
NAUKRI,150,150,150
SIEMENS,150,150,150
EICHERMOT,175,175,175
NAVINFLUOR,175,175,175
TCS,175,175,175
TITAN,175,175,175
ASIANPAINT,200,200,200
BRITANNIA,200,200,200
DIVISLAB,200,200,200
MCX,200,200,200
NESTLEIND,200,200,200
PERSISTENT,200,200,200
TRENT,200,200,200
GODREJPROP,225,225,225
GRASIM,250,250,250
PIDILITIND,250,250,250
PIIND,250,250,250
RELIANCE,250,250,250
TORNTPHARM,250,250,250
DALBHARAT,275,275,275
ESCORTS,275,275,275
MPHASIS,275,275,275
ACC,300,300,300
ADANIENT,300,300,300
BALKRISIND,300,300,300
CUMMINSIND,300,300,300
DEEPAKNTR,300,300,300
HAL,300,300,300
HINDUNILVR,300,300,300
INDIAMART,300,300,300
INDIGO,300,300,300
LALPATHLAB,300,300,300
SHRIRAMFIN,300,300,300
COLPAL,350,350,350
HCLTECH,350,350,350
M&M,350,350,350
SUNPHARMA,350,350,350
TVSMOTOR,350,350,350
ASTRAL,367,367,367
BATAINDIA,375,375,375
SBILIFE,375,375,375
SRF,375,375,375
ADANIPORTS,400,400,400
INFY,400,400,400
KOTAKBANK,400,400,400
METROPOLIS,400,400,400
MGL,400,400,400
UBL,400,400,400
PVRINOX,407,407,407
LUPIN,425,425,425
TATACONSUM,456,456,456
BHARTIARTL,475,475,475
BAJAJFINSV,500,500,500
BHARATFORG,500,500,500
GODREJCP,500,500,500
HAVELLS,500,500,500
ICICIGI,500,500,500
INDUSINDBK,500,500,500
TATACOMM,500,500,500
AUROPHARMA,550,550,550
HDFCBANK,550,550,550
MUTHOOTFIN,550,550,550
TATACHEM,550,550,550
TATAMOTORS,550,550,550
TECHM,600,600,600
VOLTAS,600,600,600
AXISBANK,625,625,625
CHOLAFIN,625,625,625
JINDALSTEL,625,625,625
CIPLA,650,650,650
IPCALAB,650,650,650
JSWSTEEL,675,675,675
COROMANDEL,700,700,700
ICICIBANK,700,700,700
OBEROIRLTY,700,700,700
UNITDSPR,700,700,700
GLENMARK,725,725,725
PEL,750,750,750
SBIN,750,750,750
MFSL,800,800,800
SBICARD,800,800,800
DLF,825,825,825
RAMCOCEM,850,850,850
IRCTC,875,875,875
AMBUJACEM,900,900,900
ZYDUSLIFE,900,900,900
CANFINHOME,975,975,975
AARTIIND,1000,1000,1000
AUBANK,1000,1000,1000
BSOFT,1000,1000,1000
CONCOR,1000,1000,1000
INDHOTEL,1000,1000,1000
LICHSGFIN,1000,1000,1000
SYNGENE,1000,1000,1000
HDFCLIFE,1100,1100,1100
MARICO,1200,1200,1200
DABUR,1250,1250,1250
GUJGASLTD,1250,1250,1250
JUBLFOOD,1250,1250,1250
GNFC,1300,1300,1300
PFC,1300,1300,1300
UPL,1300,1300,1300
BERGEPAINT,1320,1320,1320
TATAPOWER,1350,1350,1350
IGL,1375,1375,1375
HINDALCO,1400,1400,1400
ICICIPRULI,1500,1500,1500
NTPC,1500,1500,1500
SUNTV,1500,1500,1500
WIPRO,1500,1500,1500
BALRAMCHIN,1600,1600,1600
ITC,1600,1600,1600
APOLLOTYRE,1700,1700,1700
LAURUSLABS,1700,1700,1700
BPCL,1800,1800,1800
CROMPTON,1800,1800,1800
EXIDEIND,1800,1800,1800
CHAMBLFERT,1900,1900,1900
ONGC,1925,1925,1925
GRANULES,2000,2000,2000
M&MFIN,2000,2000,2000
RECLTD,2000,2000,2000
HINDPETRO,2025,2025,2025
COALINDIA,2100,2100,2100
VEDL,2300,2300,2300
BIOCON,2500,2500,2500
RBLBANK,2500,2500,2500
ABFRL,2600,2600,2600
BHEL,2625,2625,2625
HINDCOPPER,2650,2650,2650
BANDHANBNK,2800,2800,2800
BEL,2850,2850,2850
INDIACEM,2900,0,0
BANKBARODA,2925,2925,2925
MANAPPURAM,3000,3000,3000
PETRONET,3000,3000,3000
INDUSTOWER,3400,3400,3400
POWERGRID,3600,3600,3600
IEX,3750,3750,3750
NATIONALUM,3750,3750,3750
SAIL,4000,4000,4000
LTF,4462,4462,4462
NMDC,4500,4500,4500
GAIL,4575,4575,4575
IOC,4875,4875,4875
ASHOKLEY,5000,5000,5000
CUB,5000,5000,5000
FEDERALBNK,5000,5000,5000
IDFC,5000,5000,5000
ABCAPITAL,5400,5400,5400
TATASTEEL,5500,5500,5500
CANBK,6750,6750,6750
MOTHERSON,7100,7100,7100
IDFCFIRSTB,7500,7500,7500
PNB,8000,8000,8000
GMRINFRA,11250,11250,11250
IDEA,40000,40000,40000
